incident_id,service_id,team_id,severity,status,opened_at,resolved_at,root_cause,customer_impact,description
I64,S7,T5,SEV3,resolved,2024-09-24,2024-09-24 00:15:00,infrastructure,True,Auto-generated incident
I65,S9,T7,SEV3,resolved,2024-01-12,2024-01-12 00:40:00,infrastructure,True,Auto-generated incident
I66,S11,T6,SEV4,resolved,2024-01-24,2024-01-24 02:46:00,infrastructure,True,Auto-generated incident
I67,S7,T5,SEV3,resolved,2024-02-08,2024-02-08 00:35:00,infrastructure,False,Auto-generated incident
I68,S3,T6,SEV2,resolved,2024-09-23,2024-09-23 01:57:00,infrastructure,True,Auto-generated incident
I69,S1,T3,SEV3,resolved,2024-06-24,2024-06-24 02:05:00,dependency_failure,False,Auto-generated incident
I70,S10,T2,SEV3,resolved,2024-01-20,2024-01-20 01:44:00,infrastructure,True,Auto-generated incident
I71,S3,T6,SEV2,resolved,2024-04-03,2024-04-03 02:05:00,deployment_bug,False,Auto-generated incident
I72,S4,T4,SEV3,resolved,2024-10-19,2024-10-19 00:34:00,deployment_bug,False,Auto-generated incident
I73,S2,T5,SEV3,resolved,2024-09-22,2024-09-22 03:20:00,infrastructure,False,Auto-generated incident
I74,S4,T4,SEV4,resolved,2024-03-24,2024-03-24 00:52:00,configuration,True,Auto-generated incident
I75,S1,T3,SEV2,resolved,2024-03-29,2024-03-29 02:38:00,dependency_failure,False,Auto-generated incident
I76,S12,T6,SEV3,resolved,2024-04-14,2024-04-14 01:11:00,configuration,True,Auto-generated incident
I77,S11,T6,SEV3,resolved,2024-09-01,2024-09-01 01:55:00,infrastructure,False,Auto-generated incident
I78,S11,T6,SEV4,resolved,2024-09-17,2024-09-17 00:53:00,dependency_failure,True,Auto-generated incident
I79,S7,T5,SEV4,resolved,2024-05-28,2024-05-28 03:06:00,configuration,False,Auto-generated incident
I80,S12,T6,SEV3,resolved,2024-05-23,2024-05-23 03:24:00,infrastructure,True,Auto-generated incident
I81,S1,T3,SEV3,resolved,2024-04-30,2024-04-30 01:33:00,configuration,False,Auto-generated incident
I82,S7,T5,SEV4,resolved,2024-05-04,2024-05-04 02:22:00,dependency_failure,False,Auto-generated incident
I83,S3,T6,SEV1,resolved,2024-08-19,2024-08-19 00:53:00,dependency_failure,True,Auto-generated incident
I84,S5,T6,SEV3,resolved,2024-06-24,2024-06-24 03:04:00,configuration,False,Auto-generated incident
I85,S3,T6,SEV4,resolved,2024-10-11,2024-10-11 01:43:00,infrastructure,True,Auto-generated incident
I86,S4,T4,SEV4,resolved,2024-08-28,2024-08-28 00:29:00,infrastructure,False,Auto-generated incident
I87,S3,T6,SEV4,resolved,2024-07-04,2024-07-04 01:04:00,dependency_failure,True,Auto-generated incident
I88,S3,T6,SEV2,resolved,2024-10-09,2024-10-09 02:42:00,configuration,False,Auto-generated incident
I89,S10,T2,SEV4,resolved,2024-08-14,2024-08-14 02:27:00,infrastructure,True,Auto-generated incident
I90,S1,T3,SEV4,resolved,2024-04-03,2024-04-03 02:07:00,configuration,False,Auto-generated incident
I91,S4,T4,SEV2,resolved,2024-01-07,2024-01-07 01:07:00,dependency_failure,True,Auto-generated incident
I92,S10,T2,SEV4,resolved,2024-10-15,2024-10-15 02:04:00,infrastructure,True,Auto-generated incident
I93,S6,T4,SEV2,resolved,2024-08-29,2024-08-29 01:07:00,deployment_bug,True,Auto-generated incident
I94,S7,T5,SEV3,resolved,2024-07-07,2024-07-07 01:07:00,configuration,False,Auto-generated incident
I95,S9,T7,SEV2,resolved,2024-05-22,2024-05-22 01:03:00,deployment_bug,True,Auto-generated incident
I96,S8,T5,SEV4,resolved,2024-04-22,2024-04-22 02:06:00,deployment_bug,True,Auto-generated incident
I97,S12,T6,SEV2,resolved,2024-06-05,2024-06-05 02:21:00,configuration,True,Auto-generated incident
I98,S1,T3,SEV3,resolved,2024-05-08,2024-05-08 00:51:00,infrastructure,True,Auto-generated incident
I99,S1,T3,SEV4,resolved,2024-02-20,2024-02-20 03:41:00,configuration,True,Auto-generated incident
I100,S9,T7,SEV4,resolved,2024-04-05,2024-04-05 00:54:00,infrastructure,False,Auto-generated incident
I101,S8,T5,SEV4,resolved,2024-08-06,2024-08-06 03:33:00,infrastructure,False,Auto-generated incident
I102,S7,T5,SEV2,resolved,2024-09-25,2024-09-25 02:36:00,infrastructure,True,Auto-generated incident
I103,S12,T6,SEV3,resolved,2024-02-14,2024-02-14 00:16:00,configuration,True,Auto-generated incident
I104,S8,T5,SEV3,resolved,2024-02-22,2024-02-22 03:56:00,configuration,False,Auto-generated incident
I105,S9,T7,SEV2,resolved,2024-02-03,2024-02-03 00:19:00,dependency_failure,False,Auto-generated incident
I106,S9,T7,SEV3,resolved,2024-08-19,2024-08-19 00:19:00,configuration,False,Auto-generated incident
I107,S11,T6,SEV4,resolved,2024-10-03,2024-10-03 03:38:00,deployment_bug,False,Auto-generated incident
I108,S9,T7,SEV2,resolved,2024-09-17,2024-09-17 02:46:00,configuration,True,Auto-generated incident
I109,S11,T6,SEV4,resolved,2024-03-21,2024-03-21 00:14:00,deployment_bug,False,Auto-generated incident
I110,S10,T2,SEV4,resolved,2024-09-29,2024-09-29 03:08:00,infrastructure,True,Auto-generated incident
I111,S5,T6,SEV4,resolved,2024-06-11,2024-06-11 03:14:00,infrastructure,True,Auto-generated incident
I112,S3,T6,SEV4,resolved,2024-05-25,2024-05-25 02:20:00,deployment_bug,True,Auto-generated incident
I113,S3,T6,SEV4,resolved,2024-05-13,2024-05-13 01:54:00,dependency_failure,False,Auto-generated incident
I114,S10,T2,SEV2,resolved,2024-08-18,2024-08-18 03:04:00,dependency_failure,True,Auto-generated incident
I115,S8,T5,SEV4,resolved,2024-10-10,2024-10-10 03:59:00,deployment_bug,True,Auto-generated incident
I116,S1,T3,SEV3,resolved,2024-06-09,2024-06-09 01:05:00,infrastructure,False,Auto-generated incident
I117,S2,T5,SEV4,resolved,2024-02-22,2024-02-22 01:56:00,dependency_failure,True,Auto-generated incident
I118,S12,T6,SEV1,resolved,2024-02-05,2024-02-05 01:18:00,dependency_failure,True,Auto-generated incident
I119,S9,T7,SEV3,resolved,2024-06-30,2024-06-30 00:48:00,infrastructure,True,Auto-generated incident
I120,S1,T3,SEV3,resolved,2024-07-09,2024-07-09 00:26:00,configuration,False,Auto-generated incident
I121,S1,T3,SEV3,resolved,2024-09-15,2024-09-15 00:18:00,infrastructure,True,Auto-generated incident
I122,S12,T6,SEV4,resolved,2024-06-08,2024-06-08 00:14:00,configuration,True,Auto-generated incident
I123,S5,T6,SEV3,resolved,2024-02-23,2024-02-23 01:41:00,dependency_failure,False,Auto-generated incident
I124,S12,T6,SEV3,resolved,2024-02-19,2024-02-19 03:34:00,infrastructure,True,Auto-generated incident
I125,S12,T6,SEV3,resolved,2024-10-25,2024-10-25 03:56:00,infrastructure,False,Auto-generated incident
I126,S1,T3,SEV4,resolved,2024-02-26,2024-02-26 03:27:00,dependency_failure,False,Auto-generated incident
I127,S9,T7,SEV2,resolved,2024-04-18,2024-04-18 03:44:00,configuration,True,Auto-generated incident
I128,S11,T6,SEV2,resolved,2024-07-16,2024-07-16 01:46:00,infrastructure,True,Auto-generated incident
I129,S3,T6,SEV3,resolved,2024-05-05,2024-05-05 02:36:00,configuration,False,Auto-generated incident
I130,S9,T7,SEV2,resolved,2024-04-18,2024-04-18 03:09:00,configuration,False,Auto-generated incident
I131,S6,T4,SEV3,resolved,2024-09-25,2024-09-25 02:37:00,deployment_bug,True,Auto-generated incident
I132,S12,T6,SEV4,resolved,2024-03-24,2024-03-24 01:23:00,deployment_bug,True,Auto-generated incident
I133,S6,T4,SEV3,resolved,2024-10-06,2024-10-06 01:45:00,dependency_failure,False,Auto-generated incident
I134,S5,T6,SEV3,resolved,2024-08-03,2024-08-03 02:06:00,configuration,False,Auto-generated incident
I135,S4,T4,SEV3,resolved,2024-07-11,2024-07-11 01:37:00,dependency_failure,True,Auto-generated incident
I136,S6,T4,SEV3,resolved,2024-02-05,2024-02-05 02:19:00,configuration,False,Auto-generated incident
I137,S12,T6,SEV3,resolved,2024-03-24,2024-03-24 03:33:00,configuration,True,Auto-generated incident
I138,S3,T6,SEV4,resolved,2024-03-07,2024-03-07 02:36:00,dependency_failure,False,Auto-generated incident
I139,S9,T7,SEV4,resolved,2024-02-02,2024-02-02 03:34:00,configuration,True,Auto-generated incident
I140,S12,T6,SEV2,resolved,2024-01-21,2024-01-21 00:17:00,configuration,False,Auto-generated incident
I141,S7,T5,SEV3,resolved,2024-10-02,2024-10-02 01:26:00,dependency_failure,False,Auto-generated incident
I142,S4,T4,SEV4,resolved,2024-06-12,2024-06-12 03:23:00,infrastructure,True,Auto-generated incident
I143,S10,T2,SEV3,resolved,2024-01-12,2024-01-12 01:00:00,infrastructure,False,Auto-generated incident
I144,S1,T3,SEV4,resolved,2024-07-13,2024-07-13 02:11:00,dependency_failure,True,Auto-generated incident
I145,S11,T6,SEV4,resolved,2024-07-10,2024-07-10 01:14:00,infrastructure,True,Auto-generated incident
I146,S9,T7,SEV3,resolved,2024-09-13,2024-09-13 01:11:00,deployment_bug,False,Auto-generated incident
I147,S5,T6,SEV2,resolved,2024-10-03,2024-10-03 01:48:00,deployment_bug,False,Auto-generated incident
I148,S8,T5,SEV3,resolved,2024-06-11,2024-06-11 02:35:00,configuration,False,Auto-generated incident
I149,S12,T6,SEV4,resolved,2024-05-15,2024-05-15 03:52:00,configuration,True,Auto-generated incident
I150,S6,T4,SEV3,resolved,2024-03-25,2024-03-25 02:41:00,deployment_bug,True,Auto-generated incident
I151,S10,T2,SEV3,resolved,2024-01-12,2024-01-12 00:19:00,infrastructure,True,Auto-generated incident
I152,S6,T4,SEV3,resolved,2024-02-09,2024-02-09 00:50:00,infrastructure,False,Auto-generated incident
I153,S11,T6,SEV3,resolved,2024-09-13,2024-09-13 01:23:00,infrastructure,False,Auto-generated incident
I154,S9,T7,SEV3,resolved,2024-07-25,2024-07-25 01:40:00,configuration,False,Auto-generated incident
I155,S5,T6,SEV4,resolved,2024-09-01,2024-09-01 01:30:00,deployment_bug,False,Auto-generated incident
I156,S8,T5,SEV3,resolved,2024-10-12,2024-10-12 01:03:00,configuration,True,Auto-generated incident
I157,S4,T4,SEV3,resolved,2024-07-14,2024-07-14 02:54:00,infrastructure,True,Auto-generated incident
I158,S5,T6,SEV3,resolved,2024-09-16,2024-09-16 00:12:00,configuration,True,Auto-generated incident
I159,S1,T3,SEV4,resolved,2024-03-23,2024-03-23 02:57:00,infrastructure,False,Auto-generated incident
I160,S9,T7,SEV3,resolved,2024-06-07,2024-06-07 03:33:00,configuration,False,Auto-generated incident
I161,S12,T6,SEV3,resolved,2024-06-24,2024-06-24 02:29:00,infrastructure,False,Auto-generated incident
I162,S10,T2,SEV3,resolved,2024-02-08,2024-02-08 02:44:00,infrastructure,True,Auto-generated incident
I163,S7,T5,SEV3,resolved,2024-06-29,2024-06-29 00:31:00,deployment_bug,True,Auto-generated incident
I164,S11,T6,SEV3,resolved,2024-06-10,2024-06-10 01:30:00,dependency_failure,False,Auto-generated incident
I165,S4,T4,SEV4,resolved,2024-05-13,2024-05-13 01:57:00,dependency_failure,True,Auto-generated incident
I166,S1,T3,SEV4,resolved,2024-06-05,2024-06-05 03:03:00,infrastructure,False,Auto-generated incident
I167,S9,T7,SEV4,resolved,2024-07-17,2024-07-17 02:53:00,configuration,True,Auto-generated incident
I168,S12,T6,SEV3,resolved,2024-08-08,2024-08-08 02:56:00,infrastructure,True,Auto-generated incident
I169,S9,T7,SEV4,resolved,2024-02-16,2024-02-16 03:28:00,infrastructure,True,Auto-generated incident
I170,S10,T2,SEV2,resolved,2024-08-28,2024-08-28 00:19:00,dependency_failure,True,Auto-generated incident
I171,S12,T6,SEV3,resolved,2024-06-21,2024-06-21 00:56:00,configuration,True,Auto-generated incident
I172,S7,T5,SEV3,resolved,2024-06-20,2024-06-20 00:52:00,configuration,False,Auto-generated incident
I173,S8,T5,SEV4,resolved,2024-02-20,2024-02-20 02:43:00,deployment_bug,True,Auto-generated incident
I174,S6,T4,SEV2,resolved,2024-10-16,2024-10-16 01:44:00,deployment_bug,True,Auto-generated incident
I175,S7,T5,SEV2,resolved,2024-06-13,2024-06-13 01:36:00,configuration,False,Auto-generated incident
I176,S1,T3,SEV3,resolved,2024-05-22,2024-05-22 03:55:00,dependency_failure,False,Auto-generated incident
I177,S3,T6,SEV3,resolved,2024-04-14,2024-04-14 01:57:00,configuration,True,Auto-generated incident
I178,S4,T4,SEV3,resolved,2024-04-28,2024-04-28 03:25:00,configuration,False,Auto-generated incident
I179,S9,T7,SEV4,resolved,2024-05-05,2024-05-05 00:55:00,dependency_failure,False,Auto-generated incident
I180,S3,T6,SEV4,resolved,2024-05-30,2024-05-30 01:38:00,infrastructure,True,Auto-generated incident
I181,S9,T7,SEV4,resolved,2024-08-20,2024-08-20 00:28:00,deployment_bug,False,Auto-generated incident
I182,S9,T7,SEV3,resolved,2024-09-05,2024-09-05 02:20:00,deployment_bug,True,Auto-generated incident
I183,S1,T3,SEV4,resolved,2024-04-11,2024-04-11 00:56:00,configuration,False,Auto-generated incident
I184,S11,T6,SEV3,resolved,2024-09-23,2024-09-23 03:12:00,deployment_bug,False,Auto-generated incident
I185,S10,T2,SEV4,resolved,2024-04-07,2024-04-07 03:18:00,infrastructure,False,Auto-generated incident
I186,S2,T5,SEV3,resolved,2024-03-28,2024-03-28 01:28:00,dependency_failure,True,Auto-generated incident
I187,S10,T2,SEV1,resolved,2024-08-08,2024-08-08 01:20:00,configuration,False,Auto-generated incident
I188,S8,T5,SEV4,resolved,2024-06-23,2024-06-23 02:37:00,configuration,True,Auto-generated incident
I189,S6,T4,SEV3,resolved,2024-04-13,2024-04-13 00:18:00,configuration,False,Auto-generated incident
I190,S10,T2,SEV4,resolved,2024-06-04,2024-06-04 01:22:00,infrastructure,False,Auto-generated incident
I191,S5,T6,SEV3,resolved,2024-02-26,2024-02-26 03:40:00,deployment_bug,False,Auto-generated incident
I192,S8,T5,SEV1,resolved,2024-01-10,2024-01-10 01:13:00,infrastructure,False,Auto-generated incident
I193,S6,T4,SEV2,resolved,2024-01-26,2024-01-26 03:29:00,deployment_bug,True,Auto-generated incident
I194,S7,T5,SEV1,resolved,2024-02-21,2024-02-21 02:13:00,configuration,False,Auto-generated incident
I195,S1,T3,SEV3,resolved,2024-01-13,2024-01-13 01:01:00,infrastructure,True,Auto-generated incident
I196,S10,T2,SEV4,resolved,2024-02-29,2024-02-29 03:54:00,configuration,False,Auto-generated incident
I197,S8,T5,SEV3,resolved,2024-04-03,2024-04-03 01:53:00,dependency_failure,True,Auto-generated incident
I198,S3,T6,SEV4,resolved,2024-07-23,2024-07-23 03:29:00,dependency_failure,True,Auto-generated incident
I199,S6,T4,SEV3,resolved,2024-06-08,2024-06-08 01:00:00,infrastructure,False,Auto-generated incident
I200,S5,T6,SEV3,resolved,2024-07-23,2024-07-23 00:32:00,infrastructure,True,Auto-generated incident
I201,S2,T5,SEV3,resolved,2024-08-31,2024-08-31 00:50:00,configuration,False,Auto-generated incident
I202,S9,T7,SEV3,resolved,2024-10-13,2024-10-13 01:24:00,infrastructure,True,Auto-generated incident
I203,S2,T5,SEV1,resolved,2024-07-25,2024-07-25 01:46:00,dependency_failure,False,Auto-generated incident
I204,S9,T7,SEV4,resolved,2024-02-27,2024-02-27 03:48:00,dependency_failure,True,Auto-generated incident
I205,S7,T5,SEV3,resolved,2024-06-07,2024-06-07 03:59:00,dependency_failure,True,Auto-generated incident
I206,S12,T6,SEV3,resolved,2024-10-17,2024-10-17 01:15:00,dependency_failure,True,Auto-generated incident
I207,S7,T5,SEV4,resolved,2024-07-18,2024-07-18 01:02:00,deployment_bug,False,Auto-generated incident
I208,S6,T4,SEV3,resolved,2024-06-02,2024-06-02 03:58:00,dependency_failure,True,Auto-generated incident
I209,S1,T3,SEV1,resolved,2024-07-15,2024-07-15 01:13:00,infrastructure,False,Auto-generated incident
I210,S5,T6,SEV4,resolved,2024-03-02,2024-03-02 02:43:00,dependency_failure,False,Auto-generated incident
I211,S12,T6,SEV2,resolved,2024-06-15,2024-06-15 02:14:00,infrastructure,False,Auto-generated incident
I212,S8,T5,SEV4,resolved,2024-07-28,2024-07-28 00:24:00,deployment_bug,False,Auto-generated incident
I213,S9,T7,SEV2,resolved,2024-07-20,2024-07-20 00:53:00,configuration,True,Auto-generated incident
I214,S8,T5,SEV3,resolved,2024-07-12,2024-07-12 02:41:00,infrastructure,False,Auto-generated incident
I215,S5,T6,SEV4,resolved,2024-05-30,2024-05-30 01:41:00,deployment_bug,True,Auto-generated incident
I216,S1,T3,SEV3,resolved,2024-01-06,2024-01-06 03:45:00,deployment_bug,False,Auto-generated incident
I217,S6,T4,SEV2,resolved,2024-04-12,2024-04-12 02:24:00,configuration,True,Auto-generated incident
I218,S12,T6,SEV4,resolved,2024-03-04,2024-03-04 02:38:00,infrastructure,True,Auto-generated incident
I219,S8,T5,SEV4,resolved,2024-10-16,2024-10-16 00:21:00,infrastructure,True,Auto-generated incident
I220,S1,T3,SEV4,resolved,2024-09-10,2024-09-10 02:22:00,configuration,False,Auto-generated incident
I221,S4,T4,SEV4,resolved,2024-05-21,2024-05-21 01:26:00,dependency_failure,False,Auto-generated incident
I222,S8,T5,SEV3,resolved,2024-09-01,2024-09-01 00:50:00,infrastructure,False,Auto-generated incident
I223,S5,T6,SEV2,resolved,2024-07-15,2024-07-15 00:44:00,configuration,False,Auto-generated incident
I224,S9,T7,SEV4,resolved,2024-07-23,2024-07-23 03:14:00,configuration,False,Auto-generated incident
I225,S5,T6,SEV2,resolved,2024-04-09,2024-04-09 02:27:00,infrastructure,False,Auto-generated incident
I226,S4,T4,SEV4,resolved,2024-02-07,2024-02-07 00:29:00,configuration,True,Auto-generated incident
I227,S3,T6,SEV2,resolved,2024-08-19,2024-08-19 03:15:00,deployment_bug,False,Auto-generated incident
I228,S9,T7,SEV3,resolved,2024-06-03,2024-06-03 03:47:00,configuration,False,Auto-generated incident
I229,S9,T7,SEV2,resolved,2024-03-18,2024-03-18 02:50:00,configuration,True,Auto-generated incident
I230,S6,T4,SEV3,resolved,2024-07-25,2024-07-25 03:52:00,dependency_failure,True,Auto-generated incident
I231,S11,T6,SEV3,resolved,2024-05-02,2024-05-02 00:56:00,dependency_failure,False,Auto-generated incident
I232,S5,T6,SEV3,resolved,2024-10-14,2024-10-14 00:48:00,configuration,False,Auto-generated incident
I233,S12,T6,SEV3,resolved,2024-09-07,2024-09-07 03:30:00,dependency_failure,False,Auto-generated incident
I234,S12,T6,SEV2,resolved,2024-10-08,2024-10-08 00:28:00,infrastructure,True,Auto-generated incident
I235,S8,T5,SEV2,resolved,2024-04-20,2024-04-20 01:54:00,infrastructure,True,Auto-generated incident
I236,S1,T3,SEV4,resolved,2024-08-02,2024-08-02 01:08:00,dependency_failure,False,Auto-generated incident
I237,S12,T6,SEV4,resolved,2024-05-12,2024-05-12 03:16:00,deployment_bug,False,Auto-generated incident
I238,S4,T4,SEV4,resolved,2024-06-19,2024-06-19 01:31:00,configuration,False,Auto-generated incident
I239,S3,T6,SEV2,resolved,2024-05-24,2024-05-24 00:11:00,configuration,True,Auto-generated incident
I240,S9,T7,SEV3,resolved,2024-09-29,2024-09-29 00:35:00,infrastructure,True,Auto-generated incident
I241,S11,T6,SEV4,resolved,2024-04-30,2024-04-30 02:45:00,dependency_failure,True,Auto-generated incident
I242,S12,T6,SEV3,resolved,2024-01-10,2024-01-10 00:56:00,deployment_bug,True,Auto-generated incident
I243,S10,T2,SEV4,resolved,2024-04-18,2024-04-18 03:12:00,configuration,False,Auto-generated incident
I244,S7,T5,SEV3,resolved,2024-08-23,2024-08-23 02:51:00,deployment_bug,True,Auto-generated incident
I245,S2,T5,SEV4,resolved,2024-03-08,2024-03-08 03:02:00,dependency_failure,True,Auto-generated incident
I246,S7,T5,SEV1,resolved,2024-06-02,2024-06-02 02:30:00,configuration,False,Auto-generated incident
I247,S5,T6,SEV2,resolved,2024-01-27,2024-01-27 00:15:00,dependency_failure,False,Auto-generated incident
I248,S7,T5,SEV4,resolved,2024-03-03,2024-03-03 03:49:00,infrastructure,False,Auto-generated incident
I249,S6,T4,SEV2,resolved,2024-05-19,2024-05-19 02:22:00,infrastructure,False,Auto-generated incident
I250,S8,T5,SEV3,resolved,2024-07-18,2024-07-18 01:06:00,deployment_bug,False,Auto-generated incident
I251,S4,T4,SEV2,resolved,2024-03-30,2024-03-30 03:24:00,dependency_failure,False,Auto-generated incident
I252,S6,T4,SEV2,resolved,2024-05-18,2024-05-18 02:55:00,configuration,False,Auto-generated incident
I253,S7,T5,SEV4,resolved,2024-03-02,2024-03-02 02:08:00,configuration,True,Auto-generated incident
